h,famous
1.2904844965517718e-11,0.0
1.6936958694849816e-11,0.0
1.390637166936944e-11,0.0
1.7855603398015098e-11,0.0
4.596714491470326e-12,0.0
1.3626910476965995e-11,0.0
1.68558656946444e-11,0.0
1.0161724049598561e-11,0.0
1.4224001534908835e-11,0.0
1.3091732756516886e-11,0.0
6.891303686663054e-12,0.0
1.7754975659629256e-11,0.0
1.930000645780744e-11,0.0
1.552997137629027e-11,0.0
1.3737596155987336e-11,0.0
1.5663438716716547e-11,0.0
4.2666411282348416e-12,0.0
1.6468691672672754e-11,0.0
1.8134631097522314e-11,0.0
1.498712621936504e-11,0.0
2.0663910409236746e-11,1.0
4.228685356678143e-12,0.0
1.6854049504212498e-11,1.0
1.1976989670506674e-11,1.0
1.485268546077618e-11,0.0
2.123582647754342e-11,0.0
2.206790557269244e-11,0.0
4.344634163672422e-12,0.0
1.3734977834799333e-11,0.0
2.1091505589639076e-11,0.0
8.076994680904257e-12,1.0
4.344634163672422e-12,0.0
1.1984559699103489e-11,0.0
2.5357019446637324e-11,0.0
1.561337183843568e-11,0.0
1.6657397410201393e-11,0.0
1.716262252895942e-11,0.0
1.1355987627103565e-11,0.0
2.4011843621530136e-11,1.0
1.6380732036636345e-11,0.0
1.894084116939932e-11,0.0
1.646154389351113e-11,0.0
4.344634163672422e-12,0.0
1.585541424873499e-11,1.0
1.5366556907204915e-11,0.0
1.6326907459630114e-11,0.0
1.4450776126412428e-11,0.0
1.398050468119743e-11,0.0
1.5396861561726903e-11,0.0
2.3430167406937922e-11,0.0
1.858093634899842e-11,0.0
2.33830620926517e-11,1.0
1.4356819077001565e-11,0.0
4.492451695666917e-12,0.0
1.651860179915362e-11,0.0
1.1962548660533342e-11,0.0
1.7366297522496203e-11,0.0
1.7428491965753653e-11,0.0
1.2790083303534047e-11,0.0
4.173001238007356e-12,0.0
2.2330694273949703e-11,0.0
4.228685356678143e-12,0.0
1.3359677536711341e-11,0.0
1.935401999529494e-11,0.0
1.8544012020505853e-11,0.0
1.1882551252328647e-11,0.0
1.498744895890796e-11,0.0
1.603164958862226e-11,0.0
1.4513074113354271e-11,0.0
1.6260335306235297e-11,0.0
